NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -49 NA -49 -49 NA NA NA NA NA NA NA -49 -48.375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -49 -49 -49.1875 -49 -49.0625 -49 -49 -49 NA NA -49 -49 -49 -49 -48.875 -48.72727 -48.38462 -48.25 -48.36364 -48.30769 -48.36364 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -49.25 -49 -49 -50 -50 -50 -49.875 -49.875 -49.75 -49.625 -49.5 -49.4375 -49.375 -49.25 -49.125 -49 -49 -49 -49 -49 -49 -49 -49 -49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -50 -50 -49.875 -49.6875 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -49.625 -49.25 -49.25 -49.25 -49 -49 -49 -49 -49 -49 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -50 -50 -50 -50 -50 -50 -50 -50.5 -50.5 -50.4375 -50.25 -50.25 -50.1875 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 -50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA -51 -51 NA NA NA NA -51 -51 -50.9375 -50.8125 -50.75 -50.75 -50.5625 -50.3125 -50.25 -51 -51 -51 -51 -51 -51 -51 -51 -51 -50.9375 -51 -50.8125 -50.375 -50.0625 -50 -50 -50 -50 -50 -50 -50 -50 -50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA -51 -51.1875 -51.125 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51.1875 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -50.75 -50.75 -50.6875 -50.6875 -50.75 -50.5625 -50.5 -50.57143 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA -52 -52 -52 -52 -52 -51.8125 -51.625 -51.75 -51.4375 -51.25 -51.25 -51.25 -51.25 -51.25 -51.0625 -51 -51.125 -51 -52 -52 -52 -52 -52 -51.8125 -51.625 -51.625 -51.5 -51.5 -51.5 -51.5 -51.1875 -51.0625 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 -51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -51.9375 -51.75 -51.75 -51.75 -51.5 -51.5 -51.5 -51.25 -51.125 -51 -51 -51 -51 -51 -51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA -52 -52 -52 -52 -52 -52 -52 -52 -52 -52.125 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52.875 -52.75 -52.625 -52.5 -52.5 -52.5 -52.625 -52.5 -52.25 -52.25 -52.25 -52.25 -52.0625 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -51.75 -51.625 -51.5 -51.5 -51.28571 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
