NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 356 NA 356 356 NA NA NA NA NA NA NA 356 356 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 356 356 356 356 356 356 356 356 NA NA 356 355.9375 355.9375 355.8125 355.6875 356 356 356 356 356 355.9091 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 356 356 356 356 356 356 356 356 356 355.9375 355.9375 355.5625 355.0625 355 355 355.5 356 356 356 355.9375 355.5 355 355 355 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 356 356 356 356 356 356 356 355.6875 355.6875 355.5 355.0625 355 355 355 355 355 355.5 356 355.875 355.4375 355.25 355 355 355 355 355 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 356 356 356 356 356 356 356 355.4375 355.1875 355.1875 355 355 355 355 355 355 355 355 355 355.25 355.1875 355 355 355 355 355 355 355 355 354.9091 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA 356 356 NA NA NA NA 356 356 356 356 355.875 355.75 355.75 355.75 355.75 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 354.6875 354.0625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA 355.4375 355.375 355.0625 355.125 355.25 355.25 355.25 355.25 355.125 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 354.625 354.5 355 355 355 355 355 355 354.8125 354.0625 354 354 354 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 354.8125 354.5 354.1875 354 354.5 355 355 355 354.8125 354.5 354.3125 354.0625 354 354 354 354 354 354 354 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 354.9375 355 355 354.75 354.625 354.3125 354.25 354.0625 354 354 354 354 354.5 355 355 354.5 354 354 354 354 354 354 354 354 354 354 353.625 353 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 355 354.0625 354 354 354 354 354 354 354 354 354 354 354 354.0625 354 354.0625 354 354 354 354 354 354 354 354 354 353.6875 353.3125 353 353 353 353 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 354.9167 354.875 354.8125 354.875 354.75 354.75 354.75 354.75 354.75 354.75 354.5 354.4375 354.5 354.5 354.5 354.5 354.625 354.5 354.1875 354.125 354.25 354.25 354 354 354 354 354 354 354 354 354 354 354 354 353.875 353.75 353.75 353.75 353.75 353.75 353.75 353.75 353.75 353.6875 353.4375 353.1875 352.75 352.875 352.75 352.75 352.75 352.75 352.75 352.6364 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 353.5 353 353 353 353 353 353 353 352.75 352.1875 352 352 352 352 352 352 352 352 352 352 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 354 353.9375 353.8125 353.375 353 353 353 353 352.875 352.6875 352.25 352 352 352 352 352 352 352 352 352 352 352 352 351.625 NA NA NA 351 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 354 354 354 354 354 354 354 354 354 354 354 354 354 354 353.875 354 354 354 354 354 354 353.875 353.875 354 354 354 354 353.5 353.5 353.4375 353.0625 353 353 353 353 353 352.6875 352.375 352.0625 352 352 352 352 352 352 352 352 352 352 352 352 352 351.5 351 351 351 351 351 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 354 353.8125 353.875 353.9375 353.75 353.75 353.6875 353.625 353.625 353.5 353.5 353.5 353.5 353.125 353.125 353.5 353.5 353.5 353.3125 353.25 353.3125 353 353.0625 353.0625 353.0625 353 353 353 353 353 353 353 352.75 352.3125 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 351.375 351 351 351 351 351 351 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 352.5 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 351.875 351.1875 351 351 351 351 351 351 351 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 352.5 352 352 352 352 352 352 352 352 352 352 351.9375 351.4375 352 351.9375 351.5 351.0625 351 351 351 351 351 351 351 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 353 352.9375 352.75 352.75 352.5625 352.125 352 352 352 352 352 352 352 352 351.875 351.5 351.0625 351 351.625 351.125 351 351 351 351 351 351 351 351 351 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA 353 353 352.75 352.625 352.5 352.5 352.375 352.25 352.4375 352.625 352.625 352.5 352.5 352.5 352.5 352.5 352.5 352.5 352.5 352.5 352.5 352.5 352.25 352.3125 352.5 352.3125 352.25 352.25 352 352 352 352 352 352 352 352 352 352 351.9375 351.875 351.5625 351.25 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 350.7778 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA 352 352 NA NA 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 351.625 351.5 351.4375 351.1875 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 350.875 350.375 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 351.5 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 350.75 350.0667 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 352 351.5 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 350.5 350 350 350 350 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 351.5555 351.25 351.25 351.3125 351.125 351.1875 351.375 351.5 351.5 351.5 351.5 351.5 351.5 351.5 351.5 351.5 351.5 351.5 351.75 351.75 351.75 351.75 351.75 351.75 351.5 351.5 351.5 351.5 351.5 351.25 351.125 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 350.75 350.125 350 350 350 350 350 350 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 350.9375 350.4375 350 350 350 350 350 350 350 350 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 351 350.8125 350.75 350.5625 351 351 351 351 350.875 350.1875 350 350 350 350 350 350 350 350 350 350 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA 351 351 351 351 350.875 350.75 350.75 351 351 351 351 351 351 351 351 351 351 350.75 350.75 350.75 350.75 350.75 350.75 350.75 350.9375 350.9375 351 351 350.9375 351 350.9375 350.8125 350.75 350.6875 350.5 350.5625 350.4375 350.1875 350.4375 350.25 350 350 350.75 351 350.75 350.375 350 350 350 350 350 350 350 350 350 350 350 350 349 349 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA 350.5625 350.375 350 350 350 350 350.25 350.25 350.25 350.25 350.375 350.5 350.5625 350.75 350 350 350 350 350 350 350 350 350 350 350 350 350.125 350.0625 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 349.875 349 349 349 349 NA NA 348.4667 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 349.6875 349 349 349 349 349 349 348.5 348 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA 350 349.6667 349.8333 350 350 350 350 350 350 350 350 350 350 350 350 350 350 349.9375 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 349.5 349 349 349 349 349 349 348.5 348 348 NA 347 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 349.4375 349.8125 349.5 349.3125 349 349 349 349.0625 349.25 349.25 349 349.0625 349.75 349.5625 349.375 349.875 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 349.25 349 349 349 349 349 349 348.375 348 348 347.75 347 347 347 347 347 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA 349 349 349 349 349 349 NA 349 349 349.125 349 349.125 349 349.125 349.25 349.25 349.0625 349.25 349.4375 349.375 349.3125 349.0625 349.0625 349.125 349.25 349.375 349.5625 349.5 349.625 349.375 349.4375 349.5625 349.9375 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 349.6875 349.25 349 349 349 349 349 349 349 348.25 348 348 347.5625 347 347 346.875 346.75 346.5 346.25 346 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
