NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -56 NA -56 -56 NA NA NA NA NA NA NA -57 -55.75 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -54 -54 -56 -56 -56 -56 -56 -56 NA NA -56 -56.25 -56.25 -56.4375 -55.25 -54 -54 -54 -54 -54 -54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -54 -54 -54 -55.5625 -55.75 -56 -56 -56 -56 -56 -56 -56 -56 -56 -56 -55 -54 -54 -54 -54 -54 -54 -54 -54 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -53.15385 -53.375 -53.25 -53.25 -55 -55 -55.0625 -55.25 -55.25 -55.5 -55.5625 -55.75 -55.875 -56 -56 -56 -54.75 -53.625 -53.75 -53.75 -53.625 -53.5 -53.5 -53.5 -53.5 -53.25 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -53 -53 -53 -53 -53 -53 -53 -55 -55 -55 -55 -55 -55 -55 -55 -55 -55.125 -55.375 -55.25 -54.25 -53 -53 -53 -53 -53 -53 -53 -53 -53 -53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA -52.25 -52.21429 NA NA NA NA -53 -53 -53 -53 -53 -53 -53 -53 -53 -54.75 -54.8125 -54.9375 -55 -55 -55 -55 -55 -55 -55 -55 -55 -54 -53 -53 -53 -53 -53 -53 -53 -53 -53 -53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA NA NA NA -52 -52 -52.25 -52.5 -52.5 -52.5 -52.375 -52.25 -52.25 -52.25 -52.4375 -52.5 -52.375 -52.25 -52.25 -54 -54 -54 -54.125 -54.25 -54.3125 -54.5 -54.5625 -54.75 -54.8125 -55 -55 -53.9375 -52.875 -52.75 -52.5 -52.4375 -52.25 -52.25 -52.25 -52.25 -52.1875 -52 -52 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA NA NA NA NA -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -54 -54 -54 -54 -54 -54 -54 -54 -54 -54 -54 -54.1875 -53.125 -52.0625 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -51 -51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA -51 -51.1875 -51.25 -51.3125 -51.25 -51.25 -51.3125 -51.5 -51.5 -51.875 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -53.75 -53.75 -53.75 -54 -54 -54 -54 -54 -54 -54 -54 -54 -53 -52 -52 -52 -52 -52 -52 -52 -52 -52 -52 -51.75 -51.75 -50.625 -50.375 -50.18182 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
NA -51 -51 -51 -51 -51 -51 -51 -51 -51 -51.25 -51.3125 -51.25 -51.1875 -51.25 -51.25 -51.125 -51.1875 -51.25 -51.1875 -51 -51 -51 -53 -53 -53 -53 -53.0625 -53.3125 -53.5 -53.5 -53.625 -53.75 -53.9375 -54 -52.875 -51.6875 -51.3125 -51.4375 -51.5 -51.375 -51.25 -51.25 -51.0625 -51 -51 -51 -51 -50 -50 -50 -50 -50 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 
